kata_asli,kata_stemmed
muda,muda
kepemimpinannya,kepemimpin
puluhan,puluh
Pemilihan,Pemilih
Paus,Paus
relatif,relatif
muda,muda
dianggap,anggap
menghambat,hambat
peluang,peluang
kardinal,kardinal
terpilih,pilih
paus,paus
Peter,Peter
Turkson,Turkson
penasihat,nasihat
Paus,Paus
Seorang,Seorang
penasihat,nasihat
kunci,kunci
Paus,Paus
Fransiskus,Fransiskus
isu,isu
isu,isu
perubahan,rubah
iklim,iklim
keadilan,adil
sosial,sosial
Kardinal,Kardinal
Peter,Peter
Turkson,Turkson
dianggap,anggap
calon,calon
kuat,kuat
pemimpin,pemimpin
umat,umat
Katolik,Katolik
dunia,dunia
Lahir,Lahir
Ghana,Ghana
Turkson,Turkson
menorehkan,menoreh
sejarah,sejarah
paus,paus
kulit,kulit
hitam,hitam
terpilih,pilih
Kardinal,Kardinal
berusia,usia
76,76
tahuun,tahuun
diangkat,angkat
Uskup,Uskup
Agung,Agung
Cape,Cape
Coast,Coast
Paus,Paus
Yohanes,Yohanes
Paulus,Paulus
II,II
1992,1992
Sebelas,Sebelas
Turkson,Turkson
diangkat,angkat
kardinal,kardinal
sejarah,sejarah
negara,negara
Afrika,Afrika
Barat,Barat
Paus,Paus
Benediktus,Benediktus
XVI,XVI
memanggil,memanggil
Turkson,Turkson
Vatikan,Vat
2009,2009
menjadikannya,menjad
kepala,kepala
Dewan,Dew
Kepausan,Kepaus
Keadilan,Keadil
Perdamaian,Perdama
Lembaga,Lembaga
mempromosikan,mempromos
keadilan,adil
sosial,sosial
hak,hak
asasi,asasi
manusia,manusia
perdamaian,perdama
dunia,dunia
Dalam,Dalam
jabatannya,jabat
Turkson,Turkson
salah,salah
penasihat,nasihat
terdekat,dekat
Paus,Paus
isu,isu
isu,isu
perubahan,rubah
iklim,iklim
menarik,arik
perhatian,perhati
luas,luas
kehadirannya,hadir
konferensi,konferensi
internasional,internasional
Forum,Forum
Ekonomi,Ekonom
Davos,Davos
Pada,Pada
2016,2016
Paus,Paus
Fransiskus,Fransiskus
menggabungkan,gabung
departemen,departemen
dipimpin,pimpin
Kardinal,Kardinal
Turkson,Turkson
kantor,kantor
Sebagian,Sebag
menganggap,anggap
langkah,langkah
penggabungan,gabung
departemen,departemen
memicu,memicu
perebutan,rebut
pengaruh,pengaruh
Turkson,Turkson
kardinal,kardinal
Kardinal,Kardinal
Turkson,Turkson
mengundurkan,undur
jabatan,jabat
2021,2021
memimpin,memimpin
akademi,akademi
kepausan,paus
bidang,bidang
ilmu,ilmu
pengetahuan,pengetahu
ilmu,ilmu
sosial,sosial
Pada,Pada
2023,2023
wawancara,wawancara
BBC,BBC
Turkson,Turkson
mengaku,menga
berdoa,doa
terpilih,pilih
paus,paus
Namun,Namun
pengkritiknya,kritik
menilai,nila
Turkson,Turkson
berkampanye,kampanye
jabatan,jabat
tertinggi,tertingg
Gereja,Gereja
Katolik,Katolik
intensitasnya,intensitas
tampil,tampil
media,media
Peter,Peter
Erdo,Erdo
Hungaria,Hungaria
Dari,Dar
kalangan,kalang
konservatif,konservatif
muncul,muncul
nama,nama
Peter,Peter
Erdo,Erdo
kardinal,kardinal
Hungaria,Hungaria
Uskup,Uskup
Agung,Agung
Esztergom,Esztergom
Budapest,Budapest
calon,calon
kuat,kuat
pengganti,penggant
Paus,Paus
Fransiskus,Fransiskus
Menurut,Menurut
Pentin,Pentin
Erdo,Erdo
kandidat,kandidat
kuat,kuat
sayap,sayap
konservatif,konservatif
Gereja,Gereja
Ia,Ia
menilai,nila
menyukai,menyuka
kardinal,kardinal
berusia,usia
72,72
ahli,ahli
hukum,hukum
kanon,kanon
dab,dab
mahir,mahir
hukum,hukum
Gereja,Gereja
Banyak,Banyak
umat,umat
Katolik,Katolik
Gereja,Gereja
dikembalikan,kembal
kondisi,kondisi
hukum,hukum
gerejawi,gerejawi
berkembang,kembang
kepemimpinan,kepemimpin
Paus,Paus
Fransiskus,Fransiskus
Erdo,Erdo
dianggap,anggap
sosok,sosok
aman,aman
dipercaya,percaya
Pentin,Pentin
Secara,Secara
teologis,teologis
Erdo,Erdo
berpandangan,pandang
konservatif,konservatif
Dalam,Dalam
pidatonya,pidato
Eropa,Eropa
menekankan,menek
akar,akar
kekristenan,kristen
benua,benua
Namun,Namun
dinilai,nila
pragmatis,pragmatis
terbuka,buka
berselisih,selisih
Paus,Paus
Fransiskus,Fransiskus
berbeda,beda
rohaniwan,rohaniw
tradisionalis,tradisionalis
Meski,Mesk
menarik,arik
perhatian,perhati
Vatikan,Vat
krisis,krisis
migran,migran
2015,2015
Saat,Saat
Erdo,Erdo
memiliki,milik
pandangan,pandang
berseberangan,seberang
seruan,seru
Paus,Paus
Fransiskus,Fransiskus
gereja,gereja
gereja,gereja
menerima,menerima
pengungsi,pengungs
Erdo,Erdo
dianggap,anggap
bentuk,bentuk
perdagangan,perdagang
manusia,manusia
pernyataan,pernyata
sejalan,sejal
pandangan,pandang
nasionalis,nasionalis
Perdana,Perdana
Menteri,Menter
Hungaria,Hungaria
Viktor,Viktor
Orban,Orb
Pietro,Pietro
Parolin,Parolin
Italia,Italia
Sekretaris,Sekretaris
Negara,Negara
Vatikan,Vat
perdana,perdana
menteri,menteri
de,de
facto,facto
Vatikan,Vat
Pietro,Pietro
Parolin,Parolin
dianggap,anggap
salah,salah
kandidat,kandidat
terkuat,kuat
pengganti,penggant
paus,paus
Namanya,Nama
dikenal,kenal
perang,perang
Ukraina,Ukraina
Vatikan,Vat
mencoba,coba
memosisikan,memosis
penengah,engah
netral,netral
menjembatani,jembatan
dialog,dialog
Kyiv,Kyiv
Moskow,Moskow
konflik,konflik
Thomas,Thomas
Reese,Reese
imam,imam
Katolik,Katolik
Amerika,Amerika
Serikat,Serikat
penulis,penulis
buku,buku
Inside,Inside
the,the
Vatican,Vatic
Parolin,Parolin
diplomat,diplomat
kompeten,kompeten
Parolin,Parolin
dianggap,anggap
otak,otak
diplomasi,diplomasi
internasional,internasional
Paus,Paus
Fransiskus,Fransiskus
kesalahan,salah
Namun,Namun
reputasinya,reputasi
tercoreng,coreng
akibat,akibat
skandal,skandal
properti,properti
menyebabkan,menyebab
Vatikan,Vat
merugi,merug
jutaan,juta
euro,euro
pembelian,bel
gedung,gedung
bekas,bekas
showroom,showroom
Harrods,Harrods
London,London
Inggris,Inggris
Akan,A
kompeten,kompeten
wewenang,wewenang
bawahannya,bawah
Apa,Apa
salah,salah
pemimpinnya,pemimpin
Proses,Proses
persidangan,persidang
membayangi,bayang
peluang,peluang
kepausannya,paus
Pastor,Pastor
Reese,Reese
Kandidat,Kandidat
Selain,Selain
keempat,empat
kardinal,kardinal
menyebut,menyebut
nama,nama
nama,nama
dianggap,anggap
kalah,kalah
cocok,cocok
pemimpin,pemimpin
umat,umat
Katolik,Katolik
Kardinal,Kardinal
Jose,Jose
Tolentino,Tolentino
Calaca,Calaca
de,de
Mendonca,Mendonca
muncul,muncul
kandidat,kandidat
kuat,kuat
mengganti,menggant
Paus,Paus
Fransiskus,Fransiskus
berasal,asal
kaum,kaum
progresif,progresif
Gereja,Gereja
Kardinal,Kardinal
Pulau,Pulau
Madeira,Madeira
Portugal,Portugal
Paus,Paus
Fransiskus,Fransiskus
kepala,kepala
departemen,departemen
budaya,budaya
pendidikan,pendid
Dari,Dar
Italia,Italia
muncul,muncul
nama,nama
Kardinal,Kardinal
Matteo,Matteo
Zuppi,Zupp
Uskup,Uskup
Agung,Agung
Bologna,Bologna
calon,calon
kuat,kuat
penerus,penerus
Paus,Paus
Fransiskus,Fransiskus
Ia,Ia
dianggap,anggap
sosok,sosok
progresif,progresif
Paus,Paus
Fransiskus,Fransiskus
Masih,Masih
kawasan,kawasan
Eropa,Eropa
Kardinal,Kardinal
Mario,Mario
Grech,Grech
Malta,Malta
menjabat,jabat
Sekretaris,Sekretaris
Jenderal,Jenderal
Sinode,Sinode
Uskup,Uskup
dianggap,anggap
memiliki,milik
peluang,peluang
menduduki,duduk
posisi,posisi
tertinggi,tertingg
Gereja,Gereja
Katolik,Katolik
Grech,Grech
dikenal,kenal
Paus,Paus
Fransiskus,Fransiskus
memiliki,milik
kecenderungan,cenderung
konservatif,konservatif
menjadikannya,menjad
kandidat,kandidat
kompromi,kompromi
diterima,terima
kalangan,kalang
Dari,Dar
Afrika,Afrika
nama,nama
Kardinal,Kardinal
Robert,Robert
Sarah,Sarah
Guinea,Guinea
digadang,gadang
gadang,gadang
kandidat,kandidat
kuat,kuat
pengganti,penggant
Paus,Paus
Fransiskus,Fransiskus
Ia,Ia
dikenal,kenal
kritiknya,kritik
ideologi,ideologi
gender,gender
penolakannya,penola
radikalisme,radikalisme
Islam,Islam
rds,rds
Jakarta,Jakarta
CNBC,CNBC
Indonesia,Indonesia
Penggunaan,Pengguna
sistem,sistem
pembayaran,bayar
Indonesia,Indonesia
seper,per
Quick,Quick
Responese,Responese
Indonesian,Indones
Standard,Standard
QRIS,QRIS
Gerbang,Gerbang
Pembayaran,Pembayar
Nasional,Nasional
salah,salah
pembahasan,bahas
negosiasi,negosiasi
perdagangan,perdagang
pemerintah,pemerintah
Amerika,Amerika
Serikat,Serikat
AS,AS
Menteri,Menter
Koordinator,Koordinator
Bidang,Bidang
Perekonomian,Perekonom
Airlangga,Airlangga
Hartarto,Hartarto
pemerintah,pemerintah
berkoordinasi,berkoordinas
Bank,Bank
Indonesia,Indonesia
BI,BI
Otoritas,Otoritas
Jasa,Jasa
Keuangan,Keuang
OJK,OJK
terkait,kait
masukan,masu
AS,AS
Kami,Kam
berkoordinasi,berkoordinas
OJK,OJK
BI,BI
terkait,kait
payment,payment
Amerika,Amerika
Airlangga,Airlangga
konferensi,konferensi
pers,pers
daring,daring
diku,d
p,p
Minggu,Minggu
20,20
4,4
2025,2025
Sayangnya,Sayang
Airlangga,Airlangga
dak,dak
pemerintah,pemerintah
Indonesia,Indonesia
BI,BI
OJK,OJK
menghadapi,hadap
tarif,tarif
AS,AS
Sebagai,Sebaga
catatan,catat
provider,provider
kartu,kartu
kenamaan,nama
AS,AS
melobi,lob
pemerintah,pemerintah
Bank,Bank
Indonesia,Indonesia
perihal,perihal
penggunaan,guna
GPN,GPN
2019,2019
Namun,Namun
BI,BI
dak,dak
melonggarkan,longgar
aturan,atur
wajib,wajib
GPN,GPN
Pada,Pada
2019,2019
silam,silam
setahun,tahun
diluncurkannya,luncur
GPN,GPN
Indonesia,Indonesia
menghapus,hapus
kewajiban,wajib
menggandeng,gandeng
perusahaan,perusaha
switching,switching
lokal,lokal
bisnis,bisnis
sistem,sistem
pembayaran,bayar
domes,domes
k,k
perusahaan,perusaha
AS,AS
Mastercard,Mastercard
Visa,Visa
Perubahan,Perubah
mengizinkan,izin
perusahaan,perusaha
AS,AS
memproses,proses
transaksi,transaksi
kartu,kartu
kredit,kredit
rekanan,rekan
lokal,lokal
sumber,sumber
Reuters,Reuters
Jumat,Jumat
4,4
10,10
2019,2019
Ini,In
kemenangan,menang
lobi,lobi
pemerintah,pemerintah
AS,AS
tekanan,tekan
negara,negara
Asia,Asia
mengeluarkan,mengeluar
aturan,atur
khusus,khusus
menggenjot,genjot
alat,alat
pembayaran,bayar
lokal,lokal
tulis,tulis
media,media
Reuters,Reuters
salinan,salin
email,email
pejabat,jabat
AS,AS
ekseku,ekse
f,f
perusahaan,perusaha
kartu,kartu
Detail,Detail
email,email
200,200
halaman,halaman
aturan,atur
Kebebasan,Kebebas
Informasi,Informas
AS,AS
Komunikasi,Komunikas
via,via
surat,surat
elektronik,elektronik
April,April
2018,2018
Agustus,Agustus
2019,2019
Dalam,Dalam
email,email
salah,salah
perusahaan,perusaha
Mastercard,Mastercard
melobi,lob
perwakilan,perwakil
Dagang,Dagang
AS,AS
USTR,USTR
India,India
Vietnam,Vietnam
Laos,Laos
Ukraina,Ukraina
Gana,Gana
Saat,Saat
diterbitkannya,terbit
GPN,GPN
pemrosesan,pemroses
transaksi,transaksi
negeri,negeri
perusahaan,perusaha
switching,switching
mayoritas,mayoritas
sahamnya,saham
dimiliki,milik
investor,investor
negeri,negeri
Dengan,Deng
aturan,atur
Visa,Visa
Mastercard,Mastercard
dak,dak
langsung,langsung
memproses,proses
transaksi,transaksi
pembayaran,bayar
Mereka,Mereka
menggandeng,gandeng
partner,partner
lokal,lokal
Sebelumnya,Sebelum
Visa,Visa
Mastercard,Mastercard
langsung,langsung
memproses,proses
transaksi,transaksi
nasabah,nasabah
Indonesia,Indonesia
Singapura,Singapura
GPN,GPN
diprediksi,diprediks
menekan,mene
laba,laba
Mastercard,Mastercard
Visa,Visa
Terutama,Terutama
fee,fee
kartu,kartu
kredit,kredit
keuntungannya,untung
Indonesia,Indonesia
Permintaan,Perminta
pengecualian,pengecual
GPN,GPN
salah,salah
permintaan,perminta
AS,AS
Indonesia,Indonesia
fasilitas,fasilitas
generalized,generalized
system,system
of,of
preferences,preferences
GSP,GSP
Ini,In
fasilitas,fasilitas
tarif,tarif
bea,bea
masuk,masuk
rendah,rendah
produk,produk
ekspor,ekspor
Indonesia,Indonesia
AS,AS
Fasilitas,Fasilitas
ditangguhkan,tangguh
2022,2022
TEMPO,TEMPO
CO,CO
Jakarta,Jakarta
Ekonom,Ekonom
Ins,Ins
tute,tute
for,for
Development,Development
of,of
Economics,Economics
and,and
Finance,Finance
Indef,Indef
Fadhil,Fadhil
Hasan,Has
menilai,nila
dampak,dampak
kebijakan,kebija
tarif,tarif
resiprokal,resiprokal
Amerika,Amerika
Serikat,Serikat
Indonesia,Indonesia
rela,rela
f,f
moderat,moderat
Menurut,Menurut
pendapat,dapat
sisi,sisi
perdagangan,perdagang
impact,impact
mbulkan,mbul
kebijakan,kebija
Trump,Trump
resiprocal,resiprocal
tariff,tariff
perdagangan,perdagang
Indonesia,Indonesia
moderat,moderat
Diskusi,Diskus
Publik,Publik
Waspada,Waspada
Genderang,Genderang
Perang,Perang
Dagang,Dagang
diadakan,ada
Indef,Indef
Jakarta,Jakarta
Jumat,Jumat
4,4
April,April
2025,2025
Secara,Secara
Fadhil,Fadhil
menyebut,menyebut
10,10
komoditas,komoditas
ekspor,ekspor
Indonesia,Indonesia
terdampak,dampak
tarif,tarif
resiprokal,resiprokal
AS,AS
Dilansir,Dilansir
Antara,Antara
produk,produk
ekspor,ekspor
Indonesia,Indonesia
seper,per
teks,teks
l,l
garmen,garmen
alas,alas
kaki,kaki
minyak,minyak
sawit,sawit
terkena,kena
dampak,dampak
kebijakan,kebija
terkhusus,khusus
industri,industri
teks,teks
l,l
Indonesia,Indonesia
dikhawa,dikhawa
rkan,r
kian,kian
merosot,merosot
Asosiasi,Asosias
Produsen,Produsen
Serat,Serat
Benang,Benang
Filament,Filament
Indonesia,Indonesia
mencatat,catat
60,60
perusahaan,perusaha
teks,teks
l,l
tutu,tutu
Di,D
sisi,sisi
Kementerian,Kementer
Ketenagakerjaan,Ketenagakerja
mencatat,catat
24,24
ribu,ribu
buruh,buruh
teks,teks
l,l
terkena,kena
pemutusan,utus
hubungan,hubung
kerja,kerja
PHK,PHK
2024,2024
Ikatan,Ikat
Pengusaha,Pengusaha
Konveksi,Konveks
Bekarya,Bekarya
memrediksi,memrediks
penutuan,penutu
pabrik,pabrik
PHK,PHK
terungkap,ungkap
perusahaan,perusaha
menengah,engah
Lebih,Lebih
PHK,PHK
industri,industri
menengah,engah
IKM,IKM
diperkiran,diperkir
mencapai,capa
1,1
000,000
unit,unit
tenaga,tenaga
kerja,kerja
kehilangan,hilang
mata,mata
pencaharian,cahar
ratusan,ratus
ribu,ribu
orang,orang
Namun,Namun
kebijakan,kebija
diterapkan,terap
negara,negara
pesaing,saing
Indonesia,Indonesia
seper,per
Vietnam,Vietnam
Malaysia,Malaysia
Thailand,Thailand
menilai,nila
dampaknya,dampak
Indonesia,Indonesia
cenderung,cenderung
ringan,ringan
Bahkan,Bah
Vietnam,Vietnam
Malaysia,Malaysia
menghadapi,hadap
level,level
tarif,tarif
nggi,ngg
dibandingkan,banding
Indonesia,Indonesia
Amerika,Amerika
Serikat,Serikat
menempa,menempa
posisi,posisi
mitra,mitra
dagang,dagang
terbesar,besar
Indonesia,Indonesia
Tiongkok,Tiongkok
Sekitar,Sekitar
10,10
5,5
persen,persen
total,total
ekspor,ekspor
Indonesia,Indonesia
pasar,pasar
Amerika,Amerika
menjadikan,menjad
negara,negara
salah,salah
tujuan,tuju
utama,utama
produk,produk
unggulan,unggul
Tanah,Tanah
Air,Air
Selain,Selain
Indonesia,Indonesia
berhasil,hasil
mencatatkan,catat
surplus,surplus
perdagangan,perdagang
signifikan,signifikan
AS,AS
16,16
8,8
miliar,miliar
dolar,dolar
AS,AS
Surplus,Surplus
nilai,nilai
ekspor,ekspor
Indonesia,Indonesia
AS,AS
melebihi,lebih
nilai,nilai
impornya,impor
negara,negara
mencerminkan,cermin
hubungan,hubung
perdagangan,perdagang
cenderung,cenderung
menguntungkan,untung
Indonesia,Indonesia
Namun,Namun
kondisi,kondisi
berpotensi,berpotens
berubah,ubah
Presiden,Presiden
Amerika,Amerika
Serikat,Serikat
Donald,Donald
Trump,Trump
mengumumkan,umum
kebijakan,kebija
terkait,kait
tarif,tarif
impor,impor
Rabu,Rabu
2,2
April,April
2025,2025
Dalam,Dalam
pernyataannya,pernyata
Trump,Trump
menetapkan,menetap
kenaikan,kena
tarif,tarif
impor,impor
angka,angka
minimum,minimum
10,10
persen,persen
berlaku,berla
negara,negara
dunia,dunia
Indonesia,Indonesia
Kebijakan,Kebija
langkah,langkah
diklaim,klaim
bertujuan,tuju
melindungi,lindung
industri,industri
domes,domes
k,k
AS,AS
mengurangi,mengurang
ketergantungan,ketergantung
produk,produk
negeri,negeri
Dalam,Dalam
da,da
ar,ar
negara,negara
negara,negara
terkena,kena
dampak,dampak
kebijakan,kebija
Indonesia,Indonesia
menempa,menempa
urutan,urut
kedelapan,delap
tarif,tarif
dikenakan,kena
mencapai,capa
32,32
persen,persen
Jumlah,Jum
tergolong,golong
nggi,ngg
dibandingkan,banding
negara,negara
berpotensi,berpotens
menekan,mene
daya,daya
saing,saing
produk,produk
ekspor,ekspor
Indonesia,Indonesia
pasar,pasar
Amerika,Amerika
Secara,Secara
60,60
negara,negara
tercantum,cantum
da,da
ar,ar
penerima,penerima
kebijakan,kebija
tarif,tarif
Mereka,Mereka
dikenai,kena
tarif,tarif
mbal,mbal
besarnya,besar
ditentukan,tentu
berdasarkan,dasar
tarif,tarif
kenakan,kena
produk,produk
ekspor,ekspor
AS,AS
Kebijakan,Kebija
dianggap,anggap
bentuk,bentuk
respons,respons
prak,prak
k,k
perdagangan,perdagang
pemerintah,pemerintah
AS,AS
dinilai,nila
dak,dak
adil,adil
merugikan,merug
kepen,pen
ngan,ng
ekonomi,ekonomi
domes,domes
k,k
Dalam,Dalam
da,da
ar,ar
Indonesia,Indonesia
satunya,satu
negara,negara
Asia,Asia
Tenggara,Tenggara
terdampak,dampak
Negara,Negara
seper,per
Malaysia,Malaysia
Kamboja,Kamboja
Vietnam,Vietnam
Thailand,Thailand
mengalami,alam
kenaikan,kena
tarif,tarif
24,24
persen,persen
49,49
persen,persen
46,46
persen,persen
36,36
persen,persen
Trump,Trump
kebijakan,kebija
tarif,tarif
bertujuan,tuju
menciptakan,cipta
lapangan,lapang
kerja,kerja
negeri,negeri
Ia,Ia
pejabat,jabat
pemerintahannya,pemerintah
beranggapan,anggap
AS,AS
dirugikan,dirug
negara,negara
prak,prak
k,k
perdagangan,perdagang
dianggap,anggap
dak,dak
adil,adil
Tarif,Tarif
tarif,tarif
diancamkan,ancam
Trump,Trump
diumumkan,umum
acara,acara
bertajuk,tajuk
Make,Make
America,America
Wealthy,Wealthy
Again,Again
digelar,gelar
Rose,Rose
Garden,Garden
Gedung,Gedung
Pu,Pu
h,h
Beredarnya,Beredar
narasi,narasi
operasi,operasi
caesar,caesar
ditanggung,tanggung
Badan,Bad
Penyelenggara,Penyelenggara
Jaminan,Jamin
Sosial,Sosial
Kesehatan,Kesehat
BPJS,BPJS
hamil,hamil
memeriksakan,memeriksa
BPJS,BPJS
kehamilan,hamil
memunculkan,muncul
kekhawatiran,khawatir
kalangan,kalang
calon,calon
Sebagai,Sebaga
dokter,dokter
peneliti,penelit
kesehatan,sehat
maternal,maternal
penulis,penulis
menilai,nila
isu,isu
kebingungan,bingung
publik,publik
memanfaatkan,manfaat
jaminan,jamin
kesehatan,sehat
Sejak,Sejak
BPJS,BPJS
meluncurkan,luncur
Jaminan,Jamin
Kesehatan,Kesehat
Nasional,Nasional
JKN,JKN
2014,2014
akses,akses
masyarakat,masyarakat
pelayanan,layan
kesehatan,sehat
persalinan,persalin
meningkat,meningkat
drastis,drastis
Banyak,Banyak
studi,studi
pertumbuhan,pertumbuh
signifikan,signifikan
persalinan,persalin
ditangani,tangan
tenaga,tenaga
kesehatan,sehat
fasilitas,fasilitas
pelayanan,layan
penyempitan,penyempit
kesenjangan,senjang
akses,akses
antarkelompok,antarkelompok
sosioekonomi,sosioekonom
Bagi,Bag
hamil,hamil
perdesaan,perdesa
wilayah,wilayah
kebijakan,kebija
penyelamat,penyelamat
memperoleh,memperoleh
pertolongan,pertolong
medis,medis
Namun,Namun
luasnya,luas
cakupan,cakup
JKN,JKN
memunculkan,muncul
konsekuensi,konsekuensi
terduga,duga
Masyarakat,Masyarakat
kali,kali
menganggap,anggap
BPJS,BPJS
berlaku,berla
otomatis,otomatis
tindakan,tinda
memperhatikan,memperhat
ketentuan,tentu
indikasi,indikasi
Ada,Ada
fenomena,fenomena
media,media
sosial,sosial
hamil,hamil
memilih,memilih
kontrol,kontrol
kehamilan,hamil
biaya,biaya
mandiri,mandiri
klinik,klinik
dokter,dokter
pilihan,pilih
persalinan,persalin
caesar,caesar
mengandalkan,andal
BPJS,BPJS
Dari,Dar
perspektif,perspektif
hak,hak
pasien,pasien
berhak,hak
menentukan,menentu
persalinan,persalin
dirasa,rasa
terbaik,baik
Namun,Namun
perspektif,perspektif
sistem,sistem
kesehatan,sehat
pembiayaan,biaya
dana,dana
publik,publik
semestinya,semest
mempertimbangkan,mempertimbang
efisiensi,efisiensi
indikasi,indikasi
medis,medis
Secara,Secara
medis,medis
operasi,operasi
caesar,caesar
menyelamatkan,menyelamat
nyawa,nyawa
komplikasi,komplikasi
serius,serius
kelainan,lain
letak,letak
janin,janin
plasenta,plasenta
previa,previa
preeklamsia,preeklamsia
berat,berat
ketuban,ketuban
pecah,pecah
Namun,Namun
overuse,overuse
penggunaan,guna
indikasi,indikasi
medis,medis
WHO,WHO
merekomendasikan,merekomendas
idealnya,ideal
angka,angka
persalinan,persalin
caesar,caesar
berkisar,kisar
10,10
15,15
persen,persen
total,total
persalinan,persalin
Melebihi,Melebih
batas,batas
menurunkan,urun
angka,angka
kematian,kemat
bayi,bayi
signifikan,signifikan
Di,D
Indonesia,Indonesia
tren,tren
operasi,operasi
caesar,caesar
meningkat,meningkat
signifikan,signifikan
menyentuh,menyentuh
18,18
5,5
persen,persen
2017,2017
Jakarta,Jakarta
mencapai,capa
31,31
1,1
persen,persen
Survei,Surve
Demografi,Demograf
Kesehatan,Kesehat
Indonesia,Indonesia
angka,angka
caesar,caesar
cenderung,cenderung
kalangan,kalang
berpendidikan,berpendid
berstatus,status
ekonomi,ekonomi
tinggal,tinggal
perkotaan,perkota
Padahal,Padahal
operasi,operasi
caesar,caesar
memiliki,milik
risiko,risiko
indikasi,indikasi
membahayakan,bahaya
keselamatan,selamat
bayi,bayi
Pada,Pada
dasarnya,dasar
kebijakan,kebija
diterapkan,terap
negara,negara
Di,D
Thailand,Thailand
Universal,Universal
Coverage,Coverage
Scheme,Scheme
UCS,UCS
menanggung,anggung
biaya,biaya
caesar,caesar
terindikasi,terindikas
medis,medis
Begitu,Begitu
Singapura,Singapura
MediShield,MediShield
Life,Life
menanggung,anggung
caesar,caesar
kecuali,kecuali
Penulis,Penulis
menyebut,menyebut
peraturan,peratur
adil,adil
Namun,Namun
definisi,definisi
indikasi,indikasi
medis,medis
kerap,kerap
area,area
abu,abu
abu,abu
Di,D
dokter,dokter
tenaga,tenaga
kesehatan,sehat
risiko,risiko
manfaat,manfaat
metode,metode
persalinan,persalin
transparan,transparan
hamil,hamil
memahami,memaham
hak,hak
kewajibannya,wajib
peserta,serta
BPJS,BPJS
Dari,Dar
sudut,sudut
pandang,pandang
sistem,sistem
kesehatan,sehat
operasi,operasi
caesar,caesar
tergolong,golong
mahal,mahal
menyita,menyita
sumber,sumber
daya,daya
Berdasarkan,Berdasar
data,data
BPJS,BPJS
tindakan,tinda
salah,salah
pos,pos
pengeluaran,pengeluar
terbesar,besar
