kata_awal,kata_stemming
isu,isu
perubahan,rubah
iklim,iklim
keadilan,adil
sosial,sosial
kardinal,kardinal
peter,ter
turkson,turkson
dianggap,anggap
calon,calon
kuat,kuat
pemimpin,pemimpin
umat,umat
katolik,katolik
dunia,dunia
lahir,lahir
ghana,ghana
turkson,turkson
menorehkan,menoreh
sejarah,sejarah
paus,paus
kulit,kulit
hitam,hitam
terpilih,terpilih
kardinal,kardinal
berusia,berusia
76,76
tahuun,tahuun
diangkat,angkat
uskup,uskup
agung,agung
cape,cape
coast,coast
paus,paus
yohanes,yohanes
paulus,paulus
ii,i
1992,1992
sebelas,sebelas
turkson,turkson
diangkat,angkat
kardinal,kardinal
sejarah,sejarah
negara,negara
afrika,afrika
barat,barat
paus,paus
benediktus,benediktus
xvi,xv
memanggil,memanggil
turkson,turkson
vatikan,vatikan
2009,2009
menjadikannya,menjadi
kepala,kepala
dewan,dewan
kepausan,paus
keadilan,adil
perdamaian,perdamai
lembaga,lembaga
mempromosikan,mempromosi
keadilan,adil
sosial,sosial
hak,hak
asasi,asasi
manusia,manusia
perdamaian,perdamai
dunia,dunia
jabatannya,jabat
turkson,turkson
salah,salah
penasihat,nasihat
terdekat,terdekat
paus,paus
isu,isu
isu,isu
perubahan,rubah
iklim,iklim
menarik,menarik
perhatian,perhati
luas,luas
kehadirannya,hadir
konferensi,konferensi
internasional,internasional
forum,forum
ekonomi,ekonomi
davos,davos
2016,2016
paus,paus
fransiskus,fransiskus
menggabungkan,menggabung
departemen,departemen
dipimpin,pimpin
kardinal,kardinal
turkson,turkson
kantor,kantor
menganggap,menganggap
langkah,langkah
penggabungan,penggabung
departemen,departemen
memicu,memicu
perebutan,rebut
pengaruh,pengaruh
turkson,turkson
kardinal,kardinal
kardinal,kardinal
turkson,turkson
mengundurkan,mengundur
jabatan,jabat
2021,2021
memimpin,memimpin
akademi,akademi
kepausan,paus
bidang,bidang
ilmu,ilmu
pengetahuan,pengetahu
ilmu,ilmu
sosial,sosial
2023,2023
wawancara,wawancara
bbc,bbc
turkson,turkson
mengaku,menga
berdoa,berdoa
terpilih,terpilih
paus,paus
pengkritiknya,pengkritik
menilai,nila
turkson,turkson
berkampanye,berkampanye
jabatan,jabat
tertinggi,tertingg
gereja,gereja
katolik,katolik
intensitasnya,intensitas
tampil,tampil
media,media
peter,ter
erdo,erdo
hungaria,hungaria
kalangan,kalang
konservatif,konservatif
muncul,muncul
nama,nama
peter,ter
erdo,erdo
kardinal,kardinal
hungaria,hungaria
uskup,uskup
agung,agung
esztergom,esztergom
budapest,budapest
calon,calon
kuat,kuat
pengganti,penggant
paus,paus
fransiskus,fransiskus
pentin,pentin
erdo,erdo
kandidat,kandidat
kuat,kuat
sayap,sayap
konservatif,konservatif
gereja,gereja
menilai,nila
menyukai,menyuka
kardinal,kardinal
berusia,berusia
72,72
ahli,ahli
hukum,hukum
kanon,kanon
dab,dab
mahir,mahir
hukum,hukum
gereja,gereja
umat,umat
katolik,katolik
gereja,gereja
dikembalikan,kembali
kondisi,kondisi
hukum,hukum
gerejawi,gerejawi
berkembang,berkembang
kepemimpinan,kepemimpin
paus,paus
fransiskus,fransiskus
erdo,erdo
dianggap,anggap
sosok,sosok
aman,aman
dipercaya,percaya
pentin,pentin
teologis,teologis
erdo,erdo
berpandangan,berpandang
konservatif,konservatif
pidatonya,pidato
eropa,eropa
menekankan,menekan
akar,akar
kekristenan,kristen
benua,benua
dinilai,nila
pragmatis,pragmatis
terbuka,terbuka
berselisih,berselisih
paus,paus
fransiskus,fransiskus
berbeda,berbeda
rohaniwan,rohaniw
tradisionalis,tradisionalis
menarik,menarik
perhatian,perhati
vatikan,vatikan
krisis,krisis
migran,migran
2015,2015
erdo,erdo
memiliki,milik
pandangan,pandang
berseberangan,berseberang
seruan,seru
paus,paus
fransiskus,fransiskus
gereja,gereja
gereja,gereja
menerima,menerima
pengungsi,pengungs
erdo,erdo
dianggap,anggap
bentuk,bentuk
perdagangan,perdagang
manusia,manusia
pernyataan,pernyata
sejalan,sejal
pandangan,pandang
nasionalis,nasionalis
perdana,perdana
menteri,menteri
hungaria,hungaria
viktor,viktor
orban,orb
pietro,pietro
parolin,parolin
italia,italia
sekretaris,sekretaris
negara,negara
vatikan,vatikan
perdana,perdana
menteri,menteri
de,de
facto,facto
vatikan,vatikan
pietro,pietro
parolin,parolin
dianggap,anggap
salah,salah
kandidat,kandidat
terkuat,terkuat
pengganti,penggant
paus,paus
namanya,nama
dikenal,kenal
perang,perang
ukraina,ukraina
vatikan,vatikan
mencoba,mencoba
memosisikan,memosisi
penengah,penengah
netral,netral
menjembatani,menjembatan
dialog,dialog
kyiv,kyiv
moskow,moskow
konflik,konflik
thomas,thomas
reese,reese
imam,imam
katolik,katolik
amerika,amerika
serikat,serikat
penulis,penulis
buku,buku
inside,inside
the,the
vatican,vatic
parolin,parolin
diplomat,diplomat
kompeten,kompeten
parolin,parolin
dianggap,anggap
otak,otak
diplomasi,diplomasi
internasional,internasional
paus,paus
fransiskus,fransiskus
kesalahan,salah
reputasinya,reputasi
tercoreng,tercoreng
akibat,akibat
skandal,skandal
properti,properti
menyebabkan,menyebab
vatikan,vatikan
merugi,merug
jutaan,juta
euro,euro
pembelian,pembeli
gedung,gedung
bekas,bekas
showroom,showroom
harrods,harrods
london,london
inggris,inggris
kompeten,kompeten
wewenang,wewenang
bawahannya,bawah
salah,salah
pemimpinnya,pemimpin
proses,proses
persidangan,persidang
membayangi,membayang
peluang,peluang
kepausannya,paus
pastor,pastor
reese,reese
kandidat,kandidat
keempat,empat
kardinal,kardinal
menyebut,menyebut
nama,nama
nama,nama
dianggap,anggap
kalah,kalah
cocok,cocok
pemimpin,pemimpin
umat,umat
katolik,katolik
kardinal,kardinal
jose,jose
tolentino,tolentino
calaca,calaca
de,de
mendonca,mendonca
muncul,muncul
kandidat,kandidat
kuat,kuat
mengganti,menggant
paus,paus
fransiskus,fransiskus
berasal,berasal
kaum,kaum
progresif,progresif
gereja,gereja
kardinal,kardinal
pulau,pulau
madeira,madeira
portugal,portugal
paus,paus
fransiskus,fransiskus
kepala,kepala
departemen,departemen
budaya,budaya
pendidikan,pendidi
italia,italia
muncul,muncul
nama,nama
kardinal,kardinal
matteo,matteo
zuppi,zupp
uskup,uskup
agung,agung
bologna,bologna
calon,calon
kuat,kuat
penerus,penerus
paus,paus
fransiskus,fransiskus
dianggap,anggap
sosok,sosok
progresif,progresif
paus,paus
fransiskus,fransiskus
kawasan,kawasan
eropa,eropa
kardinal,kardinal
mario,mario
grech,grech
malta,malta
menjabat,menjabat
sekretaris,sekretaris
jenderal,jenderal
sinode,sinode
uskup,uskup
dianggap,anggap
memiliki,milik
peluang,peluang
menduduki,menduduk
posisi,posisi
tertinggi,tertingg
gereja,gereja
katolik,katolik
grech,grech
dikenal,kenal
paus,paus
fransiskus,fransiskus
memiliki,milik
kecenderungan,cenderung
konservatif,konservatif
menjadikannya,menjadi
kandidat,kandidat
kompromi,kompromi
diterima,terima
kalangan,kalang
afrika,afrika
nama,nama
kardinal,kardinal
robert,robert
sarah,sarah
guinea,guinea
digadang,gadang
gadang,gadang
kandidat,kandidat
kuat,kuat
pengganti,penggant
paus,paus
fransiskus,fransiskus
dikenal,kenal
kritiknya,kritik
ideologi,ideologi
gender,gender
penolakannya,penola
radikalisme,radikalisme
islam,islam
rds,rds
jakarta,jakarta
cnbc,cnbc
indonesia,indonesia
penggunaan,pengguna
sistem,sistem
pembayaran,pembayar
indonesia,indonesia
seper,per
quick,quick
responese,responese
indonesian,indonesi
standard,standard
qris,qris
gerbang,gerbang
pembayaran,pembayar
nasional,nasional
salah,salah
pembahasan,pembahas
negosiasi,negosiasi
perdagangan,perdagang
pemerintah,pemerin
amerika,amerika
serikat,serikat
as,as
menteri,menteri
koordinator,koordinator
bidang,bidang
perekonomian,perekonomi
airlangga,airlangga
hartarto,hartarto
pemerintah,pemerin
berkoordinasi,berkoordinas
bank,bank
indonesia,indonesia
bi,b
otoritas,otoritas
jasa,jasa
keuangan,uang
ojk,ojk
terkait,terkait
masukan,masu
as,as
berkoordinasi,berkoordinas
ojk,ojk
bi,b
terkait,terkait
payment,payment
amerika,amerika
airlangga,airlangga
konferensi,konferensi
pers,pers
daring,daring
diku,d
p,p
minggu,minggu
20,20
4,4
2025,2025
sayangnya,sayang
airlangga,airlangga
dak,dak
pemerintah,pemerin
indonesia,indonesia
bi,b
ojk,ojk
menghadapi,menghadap
tarif,tarif
as,as
catatan,catat
provider,provider
kartu,kartu
kenamaan,nama
as,as
melobi,lob
pemerintah,pemerin
bank,bank
indonesia,indonesia
perihal,perihal
penggunaan,pengguna
gpn,gpn
2019,2019
bi,b
dak,dak
melonggarkan,longgar
aturan,atur
wajib,wajib
gpn,gpn
2019,2019
silam,silam
setahun,tahun
diluncurkannya,luncur
gpn,gpn
indonesia,indonesia
menghapus,menghapus
kewajiban,wajib
menggandeng,menggandeng
perusahaan,perusaha
switching,switching
lokal,lokal
bisnis,bisnis
sistem,sistem
pembayaran,pembayar
domes,domes
k,k
perusahaan,perusaha
as,as
mastercard,mastercard
visa,visa
perubahan,rubah
mengizinkan,mengizin
perusahaan,perusaha
as,as
memproses,memproses
transaksi,transaksi
kartu,kartu
kredit,kredit
rekanan,rekan
lokal,lokal
sumber,sumber
reuters,reuters
jumat,jumat
4,4
10,10
2019,2019
kemenangan,menang
lobi,lobi
pemerintah,pemerin
as,as
tekanan,kanan
negara,negara
asia,asia
mengeluarkan,mengeluar
aturan,atur
khusus,khusus
menggenjot,menggenjot
alat,alat
pembayaran,pembayar
lokal,lokal
tulis,tulis
media,media
reuters,reuters
salinan,salin
email,email
pejabat,jabat
as,as
ekseku,ekse
f,f
perusahaan,perusaha
kartu,kartu
detail,detail
email,email
200,200
halaman,halaman
aturan,atur
kebebasan,bebas
informasi,informasi
as,as
komunikasi,komunikasi
via,via
surat,surat
elektronik,elektronik
april,april
2018,2018
agustus,agustus
2019,2019
email,email
salah,salah
perusahaan,perusaha
mastercard,mastercard
melobi,lob
perwakilan,perwakil
dagang,dagang
as,as
ustr,ustr
india,india
vietnam,vietnam
laos,laos
ukraina,ukraina
gana,gana
diterbitkannya,terbit
gpn,gpn
pemrosesan,pemroses
transaksi,transaksi
negeri,negeri
perusahaan,perusaha
switching,switching
mayoritas,mayoritas
sahamnya,saham
dimiliki,milik
investor,investor
negeri,negeri
aturan,atur
visa,visa
mastercard,mastercard
dak,dak
langsung,langsung
memproses,memproses
transaksi,transaksi
pembayaran,pembayar
menggandeng,menggandeng
partner,partner
lokal,lokal
visa,visa
mastercard,mastercard
langsung,langsung
memproses,memproses
transaksi,transaksi
nasabah,nasabah
indonesia,indonesia
singapura,singapura
gpn,gpn
diprediksi,diprediks
menekan,mene
laba,laba
mastercard,mastercard
visa,visa
fee,fee
kartu,kartu
kredit,kredit
keuntungannya,untung
indonesia,indonesia
permintaan,perminta
pengecualian,pengecuali
gpn,gpn
salah,salah
permintaan,perminta
as,as
indonesia,indonesia
fasilitas,fasilitas
generalized,generalized
system,system
of,of
preferences,preferences
gsp,gsp
fasilitas,fasilitas
tarif,tarif
bea,bea
masuk,masuk
rendah,rendah
produk,produk
ekspor,ekspor
indonesia,indonesia
as,as
fasilitas,fasilitas
ditangguhkan,tangguh
2022,2022
tempo,tempo
co,co
jakarta,jakarta
ekonom,ekonom
ins,ins
tute,tute
for,for
development,development
of,of
economics,economics
and,and
finance,finance
indef,indef
fadhil,fadhil
hasan,hasan
menilai,nila
dampak,dampak
kebijakan,kebija
tarif,tarif
resiprokal,resiprokal
amerika,amerika
serikat,serikat
indonesia,indonesia
rela,rela
f,f
moderat,moderat
pendapat,pendapat
sisi,sisi
perdagangan,perdagang
impact,impact
mbulkan,mbul
kebijakan,kebija
trump,trump
resiprocal,resiprocal
tariff,tariff
perdagangan,perdagang
indonesia,indonesia
moderat,moderat
diskusi,diskusi
publik,publik
waspada,waspada
genderang,genderang
perang,perang
dagang,dagang
diadakan,ada
indef,indef
jakarta,jakarta
jumat,jumat
4,4
april,april
2025,2025
fadhil,fadhil
menyebut,menyebut
10,10
komoditas,komoditas
ekspor,ekspor
indonesia,indonesia
terdampak,terdampak
tarif,tarif
resiprokal,resiprokal
as,as
dilansir,lansir
produk,produk
ekspor,ekspor
indonesia,indonesia
seper,per
teks,teks
l,l
garmen,garmen
alas,alas
kaki,kaki
minyak,minyak
sawit,sawit
terkena,terkena
dampak,dampak
kebijakan,kebija
terkhusus,terkhusus
industri,industri
teks,teks
l,l
indonesia,indonesia
dikhawa,dikhawa
rkan,r
kian,kian
merosot,merosot
asosiasi,asosiasi
produsen,produsen
serat,serat
benang,benang
filament,filament
indonesia,indonesia
mencatat,mencatat
60,60
perusahaan,perusaha
teks,teks
l,l
tutu,tutu
sisi,sisi
kementerian,menteri
ketenagakerjaan,ketenagakerja
mencatat,mencatat
24,24
ribu,ribu
buruh,buruh
teks,teks
l,l
terkena,terkena
pemutusan,pemutus
hubungan,hubung
kerja,kerja
phk,phk
2024,2024
ikatan,ikat
pengusaha,pengusaha
konveksi,konveksi
bekarya,karya
memrediksi,memrediks
penutuan,penutu
pabrik,pabrik
phk,phk
terungkap,terungkap
perusahaan,perusaha
menengah,menengah
phk,phk
industri,industri
menengah,menengah
ikm,ikm
diperkiran,diperkir
mencapai,mencapa
1,1
000,000
unit,unit
tenaga,tenaga
kerja,kerja
kehilangan,hilang
mata,mata
pencaharian,pencahari
ratusan,ratus
ribu,ribu
orang,orang
kebijakan,kebija
diterapkan,terap
negara,negara
pesaing,saing
indonesia,indonesia
seper,per
vietnam,vietnam
malaysia,malaysia
thailand,thailand
menilai,nila
dampaknya,dampak
indonesia,indonesia
cenderung,cenderung
ringan,ringan
vietnam,vietnam
malaysia,malaysia
menghadapi,menghadap
level,level
tarif,tarif
nggi,ngg
dibandingkan,banding
indonesia,indonesia
amerika,amerika
serikat,serikat
menempa,menempa
posisi,posisi
mitra,mitra
dagang,dagang
terbesar,terbesar
indonesia,indonesia
tiongkok,tiongkok
10,10
5,5
persen,persen
total,total
ekspor,ekspor
indonesia,indonesia
pasar,pasar
amerika,amerika
menjadikan,menjadi
negara,negara
salah,salah
tujuan,tuju
utama,utama
produk,produk
unggulan,unggul
tanah,tanah
air,air
indonesia,indonesia
berhasil,berhasil
mencatatkan,mencatat
surplus,surplus
perdagangan,perdagang
signifikan,signifikan
as,as
16,16
8,8
miliar,miliar
dolar,dolar
as,as
surplus,surplus
nilai,nilai
ekspor,ekspor
indonesia,indonesia
as,as
melebihi,lebih
nilai,nilai
impornya,impor
negara,negara
mencerminkan,mencermin
hubungan,hubung
perdagangan,perdagang
cenderung,cenderung
menguntungkan,menguntung
indonesia,indonesia
kondisi,kondisi
berpotensi,berpotens
berubah,rubah
presiden,presiden
amerika,amerika
serikat,serikat
donald,donald
trump,trump
mengumumkan,mengumum
kebijakan,kebija
terkait,terkait
tarif,tarif
impor,impor
rabu,rabu
2,2
april,april
2025,2025
pernyataannya,pernyata
trump,trump
menetapkan,menetap
kenaikan,kenai
tarif,tarif
impor,impor
angka,angka
minimum,minimum
10,10
persen,persen
berlaku,berla
negara,negara
dunia,dunia
indonesia,indonesia
kebijakan,kebija
langkah,langkah
diklaim,klaim
bertujuan,bertuju
melindungi,lindung
industri,industri
domes,domes
k,k
as,as
mengurangi,mengurang
ketergantungan,ketergantung
produk,produk
negeri,negeri
da,da
ar,ar
negara,negara
negara,negara
terkena,terkena
dampak,dampak
kebijakan,kebija
indonesia,indonesia
menempa,menempa
urutan,urut
kedelapan,delap
tarif,tarif
dikenakan,kena
mencapai,mencapa
32,32
persen,persen
tergolong,tergolong
nggi,ngg
dibandingkan,banding
negara,negara
berpotensi,berpotens
menekan,mene
daya,daya
saing,saing
produk,produk
ekspor,ekspor
indonesia,indonesia
pasar,pasar
amerika,amerika
60,60
negara,negara
tercantum,tercantum
da,da
ar,ar
penerima,penerima
kebijakan,kebija
tarif,tarif
dikenai,kena
tarif,tarif
mbal,mbal
besarnya,besar
ditentukan,tentu
berdasarkan,berdasar
tarif,tarif
kenakan,kena
produk,produk
ekspor,ekspor
as,as
kebijakan,kebija
dianggap,anggap
bentuk,bentuk
respons,respons
prak,prak
k,k
perdagangan,perdagang
pemerintah,pemerin
as,as
dinilai,nila
dak,dak
adil,adil
merugikan,rugi
kepen,pen
ngan,ng
ekonomi,ekonomi
domes,domes
k,k
da,da
ar,ar
indonesia,indonesia
satunya,satu
negara,negara
asia,asia
tenggara,tenggara
terdampak,terdampak
negara,negara
seper,per
malaysia,malaysia
kamboja,kamboja
vietnam,vietnam
thailand,thailand
mengalami,mengalam
kenaikan,kenai
tarif,tarif
24,24
persen,persen
49,49
persen,persen
46,46
persen,persen
36,36
persen,persen
trump,trump
kebijakan,kebija
tarif,tarif
bertujuan,bertuju
menciptakan,mencipta
lapangan,lapang
kerja,kerja
negeri,negeri
pejabat,jabat
pemerintahannya,pemerintah
beranggapan,beranggap
as,as
dirugikan,rugi
negara,negara
prak,prak
k,k
perdagangan,perdagang
dianggap,anggap
dak,dak
adil,adil
tarif,tarif
tarif,tarif
diancamkan,ancam
trump,trump
diumumkan,umum
acara,acara
bertajuk,bertajuk
make,make
america,america
wealthy,wealthy
again,again
digelar,gelar
rose,rose
garden,garden
gedung,gedung
pu,pu
h,h
beredarnya,beredar
narasi,narasi
operasi,operasi
caesar,caesar
ditanggung,tanggung
badan,badan
penyelenggara,penyelenggara
jaminan,jamin
sosial,sosial
kesehatan,sehat
bpjs,bpjs
hamil,hamil
memeriksakan,memeriksa
bpjs,bpjs
kehamilan,hamil
memunculkan,muncul
kekhawatiran,khawatir
kalangan,kalang
calon,calon
dokter,dokter
peneliti,penelit
kesehatan,sehat
maternal,maternal
penulis,penulis
menilai,nila
isu,isu
kebingungan,bingung
publik,publik
memanfaatkan,manfaat
jaminan,jamin
kesehatan,sehat
bpjs,bpjs
meluncurkan,luncur
jaminan,jamin
kesehatan,sehat
nasional,nasional
jkn,jkn
2014,2014
akses,akses
masyarakat,masyarakat
pelayanan,layan
kesehatan,sehat
persalinan,persalin
meningkat,meningkat
drastis,drastis
studi,studi
pertumbuhan,pertumbuh
signifikan,signifikan
persalinan,persalin
ditangani,tangan
tenaga,tenaga
kesehatan,sehat
fasilitas,fasilitas
pelayanan,layan
penyempitan,penyempit
kesenjangan,senjang
akses,akses
antarkelompok,antarkelompok
sosioekonomi,sosioekonom
hamil,hamil
perdesaan,perdesa
wilayah,wilayah
kebijakan,kebija
penyelamat,penyelamat
memperoleh,memperoleh
pertolongan,pertolong
medis,medis
luasnya,luas
cakupan,cakup
jkn,jkn
memunculkan,muncul
konsekuensi,konsekuensi
terduga,terduga
masyarakat,masyarakat
kali,kali
menganggap,menganggap
bpjs,bpjs
berlaku,berla
otomatis,otomatis
tindakan,tinda
memperhatikan,memperhati
ketentuan,tentu
indikasi,indikasi
fenomena,fenomena
media,media
sosial,sosial
hamil,hamil
memilih,memilih
kontrol,kontrol
kehamilan,hamil
biaya,biaya
mandiri,mandiri
klinik,klinik
dokter,dokter
pilihan,pilih
persalinan,persalin
caesar,caesar
mengandalkan,mengandal
bpjs,bpjs
perspektif,perspektif
hak,hak
pasien,pasien
berhak,berhak
menentukan,menentu
persalinan,persalin
dirasa,rasa
terbaik,terbaik
perspektif,perspektif
sistem,sistem
kesehatan,sehat
pembiayaan,pembiaya
dana,dana
publik,publik
semestinya,semest
mempertimbangkan,mempertimbang
efisiensi,efisiensi
indikasi,indikasi
medis,medis
medis,medis
operasi,operasi
caesar,caesar
menyelamatkan,menyelamat
nyawa,nyawa
komplikasi,komplikasi
serius,serius
kelainan,lain
letak,letak
janin,janin
plasenta,plasenta
previa,previa
preeklamsia,preeklamsia
berat,berat
ketuban,ketuban
pecah,pecah
overuse,overuse
penggunaan,pengguna
indikasi,indikasi
medis,medis
who,who
merekomendasikan,rekomendasi
idealnya,ideal
angka,angka
persalinan,persalin
caesar,caesar
berkisar,berkisar
10,10
15,15
persen,persen
total,total
persalinan,persalin
melebihi,lebih
batas,batas
menurunkan,menurun
angka,angka
kematian,mati
bayi,bayi
signifikan,signifikan
indonesia,indonesia
tren,tren
operasi,operasi
caesar,caesar
meningkat,meningkat
signifikan,signifikan
menyentuh,menyentuh
18,18
5,5
persen,persen
2017,2017
jakarta,jakarta
mencapai,mencapa
31,31
1,1
persen,persen
survei,survei
demografi,demografi
kesehatan,sehat
indonesia,indonesia
angka,angka
caesar,caesar
cenderung,cenderung
kalangan,kalang
berpendidikan,berpendidi
berstatus,berstatus
ekonomi,ekonomi
tinggal,tinggal
perkotaan,perkota
operasi,operasi
caesar,caesar
memiliki,milik
risiko,risiko
indikasi,indikasi
membahayakan,membahaya
keselamatan,selamat
bayi,bayi
dasarnya,dasar
kebijakan,kebija
diterapkan,terap
negara,negara
thailand,thailand
universal,universal
coverage,coverage
scheme,scheme
ucs,ucs
menanggung,menanggung
biaya,biaya
caesar,caesar
terindikasi,terindikas
medis,medis
singapura,singapura
medishield,medishield
life,life
menanggung,menanggung
caesar,caesar
kecuali,kecuali
penulis,penulis
menyebut,menyebut
peraturan,peratur
adil,adil
definisi,definisi
indikasi,indikasi
medis,medis
kerap,kerap
area,area
abu,abu
abu,abu
dokter,dokter
tenaga,tenaga
kesehatan,sehat
risiko,risiko
manfaat,manfaat
metode,metode
persalinan,persalin
transparan,transparan
hamil,hamil
memahami,memaham
hak,hak
kewajibannya,wajib
peserta,serta
bpjs,bpjs
sudut,sudut
pandang,pandang
sistem,sistem
kesehatan,sehat
operasi,operasi
caesar,caesar
tergolong,tergolong
mahal,mahal
menyita,menyita
sumber,sumber
daya,daya
berdasarkan,berdasar
data,data
bpjs,bpjs
tindakan,tinda
salah,salah
pos,pos
pengeluaran,pengeluar
terbesar,terbesar
meningkat,meningkat
2019,2019
36,36
persen,persen
persalinan,persalin
ditanggung,tanggung
bpjs,bpjs
caesar,caesar
fenomena,fenomena
melonjaknya,lonjak
angka,angka
caesar,caesar
indikasi,indikasi
menggambarkan,menggambar
tantangan,tantang
moral,moral
hazard,hazard
peserta,serta
bebas,bebas
prosedur,prosedur
berbiaya,berbiaya
dianggap,anggap
gratis,gratis
dana,dana
jkn,jkn
berasal,berasal
kontribusi,kontribusi
idealnya,ideal
dimanfaatkan,manfaat
optimal,optimal
pembuat,pembuat
kebijakan,kebija
menegakkan,menegak
standar,standar
indikasi,indikasi
medis,medis
ketat,ketat
angka,angka
caesar,caesar
ditanggung,tanggung
bpjs,bpjs
membengkak,membengkak
bpjs,bpjs
terancam,rancam
defisit,defisit
berdampak,berdampak
kualitas,kualitas
layanan,layan
penulis,penulis
memahami,memaham
keputusan,putus
persalinan,persalin
perkara,perkara
medis,medis
aman,aman
kenyamanan,nyaman
keyakinan,yakin
pribadi,pribadi
ditempatkan,tempat
konteks,konteks
kepentingan,penting
publik,publik
memperhatikan,memperhati
keberlanjutan,keberlanjut
program,program
jkn,jkn
anggaran,anggar
habis,habis
tersedot,tersedot
pos,pos
sepenuhnya,sepenuh
akses,akses
layanan,layan
hamil,hamil
berisiko,risiko
daerah,daerah
tertinggal,tertinggal
terganggu,terganggu
kebijakan,kebija
dirumuskan,rumus
memenuhi,memenuh
hak,hak
individual,individual
menjaga,menjaga
asas,asas
gotong,gotong
royong,royong
penulis,penulis
menyarankan,menyaran
mengubah,mengubah
narasi,narasi
terkait,terkait
persalinan,persalin
edukasi,edukasi
memadai,mada
masyarakat,masyarakat
menganggap,menganggap
caesar,caesar
pilihan,pilih
risiko,risiko
promosi,promosi
kesehatan,sehat
menumbuhkan,menumbuh
pemahaman,pemaham
persalinan,persalin
normal,normal
kali,kali
aman,aman
murah,murah
pemulihannya,pemulih
cepat,cepat
komplikasi,komplikasi
fasilitas,fasilitas
kesehatan,sehat
tingkat,tingkat
fktp,fktp
garda,garda
terdepan,terdep
hamil,hamil
fktp,fktp
beroperasi,beroperas
24,24
jam,jam
kekurangan,kurang
alat,alat
tenaga,tenaga
medis,medis
siaga,siaga
akibatnya,akibat
masyarakat,masyarakat
cenderung,cenderung
merujuk,rujuk
rumah,rumah
sakit,sakit
opsi,opsi
caesar,caesar
mudah,mudah
diambil,ambil
peserta,serta
bpjs,bpjs
penguatan,penguat
infrastruktur,infrastruktur
kualitas,kualitas
fktp,fktp
ketiga,tiga
transparansi,transparansi
biaya,biaya
prosedur,prosedur
bpjs,bpjs
pasien,pasien
ditingkatkan,tingkat
masyarakat,masyarakat
memahami,memaham
konsekuensi,konsekuensi
finansial,finansial
kesehatan,sehat
pilihan,pilih
memahami,memaham
prosedur,prosedur
