kata_awal,kata_stemming,kata_dasar_terdeteksi
barat,barat,ara
paus,paus,aus
benediktus,benediktus,dik
xvi,xv,xv
memanggil,memanggil,emang
turkson,turkson,tur
vatikan,vatikan,ati
2009,2009,2009
menjadikannya,menjadi,adi
kepala,kepala,ala
dewan,dewan,dewa
kepausan,paus,aus
keadilan,adil,adi
perdamaian,perdamai,ama
lembaga,lembaga,aga
mempromosikan,mempromosi,mem
keadilan,adil,adi
sosial,sosial,sia
hak,hak,hak
asasi,asasi,asa
manusia,manusia,anu
perdamaian,perdamai,ama
dunia,dunia,dunia
jabatannya,jabat,aba
turkson,turkson,tur
salah,salah,ala
penasihat,nasihat,asi
terdekat,terdekat,dek
paus,paus,aus
isu,isu,isu
isu,isu,isu
perubahan,rubah,bah
iklim,iklim,iklim
menarik,menarik,ari
perhatian,perhati,ati
luas,luas,luas
kehadirannya,hadir,adi
konferensi,konferensi,konferensi
internasional,internasional,asi
forum,forum,forum
ekonomi,ekonomi,ekon
davos,davos,davos
2016,2016,2016
paus,paus,aus
fransiskus,fransiskus,kus
menggabungkan,menggabung,abu
departemen,departemen,depa
dipimpin,pimpin,impi
kardinal,kardinal,ardi
turkson,turkson,tur
kantor,kantor,kan
menganggap,menganggap,angga
langkah,langkah,angka
penggabungan,penggabung,abu
departemen,departemen,depa
memicu,memicu,mem
perebutan,rebut,rebu
pengaruh,pengaruh,aru
turkson,turkson,tur
kardinal,kardinal,ardi
kardinal,kardinal,ardi
turkson,turkson,tur
mengundurkan,mengundur,dur
jabatan,jabat,aba
2021,2021,2021
memimpin,memimpin,impi
akademi,akademi,adem
kepausan,paus,aus
bidang,bidang,bida
ilmu,ilmu,ilmu
pengetahuan,pengetahu,eta
ilmu,ilmu,ilmu
sosial,sosial,sia
2023,2023,2023
wawancara,wawancara,anca
bbc,bbc,bbc
turkson,turkson,tur
mengaku,menga,menga
berdoa,berdoa,doa
terpilih,terpilih,ili
paus,paus,aus
pengkritiknya,pengkritik,itik
menilai,nila,nila
turkson,turkson,tur
berkampanye,berkampanye,kam
jabatan,jabat,aba
tertinggi,tertingg,erti
gereja,gereja,eja
katolik,katolik,ato
intensitasnya,intensitas,intens
tampil,tampil,pil
media,media,dia
peter,ter,ter
erdo,erdo,erdo
hungaria,hungaria,ari
kalangan,kalang,ala
konservatif,konservatif,ati
muncul,muncul,mu
nama,nama,ama
peter,ter,ter
erdo,erdo,erdo
kardinal,kardinal,ardi
hungaria,hungaria,ari
uskup,uskup,kup
agung,agung,agun
esztergom,esztergom,erg
budapest,budapest,ape
calon,calon,alon
kuat,kuat,kuat
pengganti,penggant,enggan
paus,paus,aus
fransiskus,fransiskus,kus
pentin,pentin,pen
erdo,erdo,erdo
kandidat,kandidat,ida
kuat,kuat,kuat
sayap,sayap,ayap
konservatif,konservatif,ati
gereja,gereja,eja
menilai,nila,nila
menyukai,menyuka,yuk
kardinal,kardinal,ardi
berusia,berusia,beru
72,72,72
ahli,ahli,ahli
hukum,hukum,hukum
kanon,kanon,kan
dab,dab,dab
mahir,mahir,mah
hukum,hukum,hukum
gereja,gereja,eja
umat,umat,mat
katolik,katolik,ato
gereja,gereja,eja
dikembalikan,kembali,ali
kondisi,kondisi,isi
hukum,hukum,hukum
gerejawi,gerejawi,awi
berkembang,berkembang,ban
kepemimpinan,kepemimpin,impi
paus,paus,aus
fransiskus,fransiskus,kus
erdo,erdo,erdo
dianggap,anggap,angga
sosok,sosok,sok
aman,aman,ama
dipercaya,percaya,per
pentin,pentin,pen
teologis,teologis,log
erdo,erdo,erdo
berpandangan,berpandang,anda
konservatif,konservatif,ati
pidatonya,pidato,ato
eropa,eropa,opa
menekankan,menekan,enek
akar,akar,akar
kekristenan,kristen,kristen
benua,benua,benua
dinilai,nila,nila
pragmatis,pragmatis,ati
terbuka,terbuka,buk
berselisih,berselisih,isi
paus,paus,aus
fransiskus,fransiskus,kus
berbeda,berbeda,beda
rohaniwan,rohaniw,ani
tradisionalis,tradisionalis,adi
menarik,menarik,ari
perhatian,perhati,ati
vatikan,vatikan,ati
krisis,krisis,isi
migran,migran,mi
2015,2015,2015
erdo,erdo,erdo
memiliki,milik,ili
pandangan,pandang,anda
berseberangan,berseberang,bera
seruan,seru,eru
paus,paus,aus
fransiskus,fransiskus,kus
gereja,gereja,eja
gereja,gereja,eja
menerima,menerima,rim
pengungsi,pengungs,gun
erdo,erdo,erdo
dianggap,anggap,angga
bentuk,bentuk,bentuk
perdagangan,perdagang,aga
manusia,manusia,anu
pernyataan,pernyata,nyata
sejalan,sejal,eja
pandangan,pandang,anda
nasionalis,nasionalis,ali
perdana,perdana,ana
menteri,menteri,ente
hungaria,hungaria,ari
viktor,viktor,viktor
orban,orb,orb
pietro,pietro,pietro
parolin,parolin,lin
italia,italia,ali
sekretaris,sekretaris,ari
negara,negara,ara
vatikan,vatikan,ati
perdana,perdana,ana
menteri,menteri,ente
de,de,de
facto,facto,facto
vatikan,vatikan,ati
pietro,pietro,pietro
parolin,parolin,lin
dianggap,anggap,angga
salah,salah,ala
kandidat,kandidat,ida
terkuat,terkuat,kuat
pengganti,penggant,enggan
paus,paus,aus
namanya,nama,ama
dikenal,kenal,ken
perang,perang,era
ukraina,ukraina,ain
vatikan,vatikan,ati
mencoba,mencoba,coba
memosisikan,memosisi,emosi
penengah,penengah,eneng
netral,netral,net
menjembatani,menjembatan,bata
dialog,dialog,dia
kyiv,kyiv,kyiv
moskow,moskow,moskow
konflik,konflik,konflik
thomas,thomas,mas
reese,reese,es
imam,imam,imam
katolik,katolik,ato
amerika,amerika,erik
serikat,serikat,erik
penulis,penulis,lis
buku,buku,buk
inside,inside,ide
the,the,the
vatican,vatic,ati
parolin,parolin,lin
diplomat,diplomat,diplo
kompeten,kompeten,kom
parolin,parolin,lin
dianggap,anggap,angga
otak,otak,otak
diplomasi,diplomasi,asi
internasional,internasional,asi
paus,paus,aus
fransiskus,fransiskus,kus
kesalahan,salah,ala
reputasinya,reputasi,asi
tercoreng,tercoreng,cor
akibat,akibat,aki
skandal,skandal,anda
properti,properti,erti
menyebabkan,menyebab,bab
vatikan,vatikan,ati
merugi,merug,eru
jutaan,juta,juta
euro,euro,euro
pembelian,pembeli,bel
gedung,gedung,dung
bekas,bekas,bek
showroom,showroom,om
harrods,harrods,harrods
london,london,don
inggris,inggris,inggris
kompeten,kompeten,kom
wewenang,wewenang,nan
bawahannya,bawah,awa
salah,salah,ala
pemimpinnya,pemimpin,impi
proses,proses,es
persidangan,persidang,dan
membayangi,membayang,ayan
peluang,peluang,elu
kepausannya,paus,aus
pastor,pastor,pas
reese,reese,es
kandidat,kandidat,ida
keempat,empat,empat
kardinal,kardinal,ardi
menyebut,menyebut,menyebut
nama,nama,ama
nama,nama,ama
dianggap,anggap,angga
kalah,kalah,ala
cocok,cocok,cocok
pemimpin,pemimpin,impi
umat,umat,mat
katolik,katolik,ato
kardinal,kardinal,ardi
jose,jose,ose
tolentino,tolentino,tin
calaca,calaca,ala
de,de,de
mendonca,mendonca,don
muncul,muncul,mu
kandidat,kandidat,ida
kuat,kuat,kuat
mengganti,menggant,enggan
paus,paus,aus
fransiskus,fransiskus,kus
berasal,berasal,asa
kaum,kaum,aum
progresif,progresif,es
gereja,gereja,eja
kardinal,kardinal,ardi
pulau,pulau,pul
madeira,madeira,ira
portugal,portugal,tugal
paus,paus,aus
fransiskus,fransiskus,kus
kepala,kepala,ala
departemen,departemen,depa
budaya,budaya,budaya
pendidikan,pendidi,pen
italia,italia,ali
muncul,muncul,mu
nama,nama,ama
kardinal,kardinal,ardi
matteo,matteo,mat
zuppi,zupp,zupp
uskup,uskup,kup
agung,agung,agun
bologna,bologna,bol
calon,calon,alon
kuat,kuat,kuat
penerus,penerus,eru
paus,paus,aus
fransiskus,fransiskus,kus
dianggap,anggap,angga
sosok,sosok,sok
progresif,progresif,es
paus,paus,aus
fransiskus,fransiskus,kus
kawasan,kawasan,asa
eropa,eropa,opa
kardinal,kardinal,ardi
mario,mario,ari
grech,grech,grech
malta,malta,mal
menjabat,menjabat,aba
sekretaris,sekretaris,ari
jenderal,jenderal,dera
sinode,sinode,ode
uskup,uskup,kup
dianggap,anggap,angga
memiliki,milik,ili
peluang,peluang,elu
menduduki,menduduk,duduk
posisi,posisi,isi
tertinggi,tertingg,erti
gereja,gereja,eja
katolik,katolik,ato
grech,grech,grech
dikenal,kenal,ken
paus,paus,aus
fransiskus,fransiskus,kus
memiliki,milik,ili
kecenderungan,cenderung,cenderung
konservatif,konservatif,ati
menjadikannya,menjadi,adi
kandidat,kandidat,ida
kompromi,kompromi,kom
diterima,terima,rim
kalangan,kalang,ala
afrika,afrika,afrika
nama,nama,ama
kardinal,kardinal,ardi
robert,robert,robert
sarah,sarah,ara
guinea,guinea,guinea
digadang,gadang,ada
gadang,gadang,ada
kandidat,kandidat,ida
kuat,kuat,kuat
pengganti,penggant,enggan
paus,paus,aus
fransiskus,fransiskus,kus
dikenal,kenal,ken
kritiknya,kritik,itik
ideologi,ideologi,ide
gender,gender,gen
penolakannya,penola,nol
radikalisme,radikalisme,adi
islam,islam,islam
rds,rds,rds
jakarta,jakarta,akar
cnbc,cnbc,cnbc
indonesia,indonesia,don
penggunaan,pengguna,gun
sistem,sistem,sis
pembayaran,pembayar,ayar
indonesia,indonesia,don
seper,per,per
quick,quick,quick
responese,responese,es
indonesian,indonesi,don
standard,standard,anda
qris,qris,qris
gerbang,gerbang,ban
pembayaran,pembayar,ayar
nasional,nasional,asi
salah,salah,ala
pembahasan,pembahas,bah
negosiasi,negosiasi,asi
perdagangan,perdagang,aga
pemerintah,pemerin,meri
amerika,amerika,erik
serikat,serikat,erik
as,as,as
menteri,menteri,ente
koordinator,koordinator,ato
bidang,bidang,bida
perekonomian,perekonomi,ekon
airlangga,airlangga,air
hartarto,hartarto,arta
pemerintah,pemerin,meri
berkoordinasi,berkoordinas,berko
bank,bank,ban
indonesia,indonesia,don
bi,b,b
otoritas,otoritas,oto
jasa,jasa,asa
keuangan,uang,uan
ojk,ojk,ojk
terkait,terkait,kait
masukan,masu,asu
as,as,as
berkoordinasi,berkoordinas,berko
ojk,ojk,ojk
bi,b,b
terkait,terkait,kait
payment,payment,payment
amerika,amerika,erik
airlangga,airlangga,air
konferensi,konferensi,konferensi
pers,pers,per
daring,daring,ari
diku,d,d
p,p,p
minggu,minggu,inggu
20,20,20
4,4,4
2025,2025,2025
sayangnya,sayang,ayan
airlangga,airlangga,air
dak,dak,dak
pemerintah,pemerin,meri
indonesia,indonesia,don
bi,b,b
ojk,ojk,ojk
menghadapi,menghadap,ada
tarif,tarif,ari
as,as,as
catatan,catat,cat
provider,provider,ide
kartu,kartu,kartu
kenamaan,nama,ama
as,as,as
melobi,lob,lob
pemerintah,pemerin,meri
bank,bank,ban
indonesia,indonesia,don
perihal,perihal,hal
penggunaan,pengguna,gun
gpn,gpn,gpn
2019,2019,2019
bi,b,b
dak,dak,dak
melonggarkan,longgar,gar
aturan,atur,atur
wajib,wajib,aji
gpn,gpn,gpn
2019,2019,2019
silam,silam,lam
setahun,tahun,hun
diluncurkannya,luncur,cur
gpn,gpn,gpn
indonesia,indonesia,don
menghapus,menghapus,apu
kewajiban,wajib,aji
menggandeng,menggandeng,den
perusahaan,perusaha,eru
switching,switching,switching
lokal,lokal,lok
bisnis,bisnis,bis
sistem,sistem,sis
pembayaran,pembayar,ayar
domes,domes,dom
k,k,k
perusahaan,perusaha,eru
as,as,as
mastercard,mastercard,aster
visa,visa,isa
perubahan,rubah,bah
mengizinkan,mengizin,gizi
perusahaan,perusaha,eru
as,as,as
memproses,memproses,es
transaksi,transaksi,aksi
kartu,kartu,kartu
kredit,kredit,edit
rekanan,rekan,kan
lokal,lokal,lok
sumber,sumber,sum
reuters,reuters,ter
jumat,jumat,jumat
4,4,4
10,10,10
2019,2019,2019
kemenangan,menang,mena
lobi,lobi,lob
pemerintah,pemerin,meri
as,as,as
tekanan,kanan,ana
negara,negara,ara
asia,asia,asi
mengeluarkan,mengeluar,elu
aturan,atur,atur
khusus,khusus,hus
menggenjot,menggenjot,gen
alat,alat,ala
pembayaran,pembayar,ayar
lokal,lokal,lok
tulis,tulis,lis
media,media,dia
reuters,reuters,ter
salinan,salin,ali
email,email,email
pejabat,jabat,aba
as,as,as
ekseku,ekse,eks
f,f,f
perusahaan,perusaha,eru
kartu,kartu,kartu
detail,detail,detail
email,email,email
200,200,200
halaman,halaman,ala
aturan,atur,atur
kebebasan,bebas,bas
informasi,informasi,asi
as,as,as
komunikasi,komunikasi,asi
via,via,via
surat,surat,rat
elektronik,elektronik,elektro
april,april,april
2018,2018,2018
agustus,agustus,agus
2019,2019,2019
email,email,email
salah,salah,ala
perusahaan,perusaha,eru
mastercard,mastercard,aster
melobi,lob,lob
perwakilan,perwakil,aki
dagang,dagang,aga
as,as,as
ustr,ustr,ustr
india,india,dia
vietnam,vietnam,vietnam
laos,laos,laos
ukraina,ukraina,ain
gana,gana,ana
diterbitkannya,terbit,bit
gpn,gpn,gpn
pemrosesan,pemroses,es
transaksi,transaksi,aksi
negeri,negeri,neger
perusahaan,perusaha,eru
switching,switching,switching
mayoritas,mayoritas,ayo
sahamnya,saham,ham
dimiliki,milik,ili
investor,investor,es
negeri,negeri,neger
aturan,atur,atur
visa,visa,isa
mastercard,mastercard,aster
dak,dak,dak
langsung,langsung,angsu
memproses,memproses,es
transaksi,transaksi,aksi
pembayaran,pembayar,ayar
menggandeng,menggandeng,den
partner,partner,par
lokal,lokal,lok
visa,visa,isa
mastercard,mastercard,aster
langsung,langsung,angsu
memproses,memproses,es
transaksi,transaksi,aksi
nasabah,nasabah,aba
indonesia,indonesia,don
singapura,singapura,apu
gpn,gpn,gpn
diprediksi,diprediks,dik
menekan,mene,mene
laba,laba,aba
mastercard,mastercard,aster
visa,visa,isa
fee,fee,fee
kartu,kartu,kartu
kredit,kredit,edit
keuntungannya,untung,tun
indonesia,indonesia,don
permintaan,perminta,mi
pengecualian,pengecuali,ali
gpn,gpn,gpn
salah,salah,ala
permintaan,perminta,mi
as,as,as
indonesia,indonesia,don
fasilitas,fasilitas,asi
generalized,generalized,ali
system,system,tem
of,of,of
preferences,preferences,es
gsp,gsp,gsp
fasilitas,fasilitas,asi
tarif,tarif,ari
bea,bea,bea
masuk,masuk,asu
rendah,rendah,dah
produk,produk,duk
ekspor,ekspor,eks
indonesia,indonesia,don
as,as,as
fasilitas,fasilitas,asi
ditangguhkan,tangguh,angguh
2022,2022,2022
tempo,tempo,empo
co,co,co
jakarta,jakarta,akar
ekonom,ekonom,ekon
ins,ins,ins
tute,tute,tute
for,for,for
development,development,elo
of,of,of
economics,economics,eco
and,and,and
finance,finance,ina
indef,indef,indef
fadhil,fadhil,fadhil
hasan,hasan,asa
menilai,nila,nila
dampak,dampak,dam
kebijakan,kebija,ebi
tarif,tarif,ari
resiprokal,resiprokal,es
amerika,amerika,erik
serikat,serikat,erik
indonesia,indonesia,don
rela,rela,ela
f,f,f
moderat,moderat,dera
pendapat,pendapat,apa
sisi,sisi,isi
perdagangan,perdagang,aga
impact,impact,impact
mbulkan,mbul,mbul
kebijakan,kebija,ebi
trump,trump,rum
resiprocal,resiprocal,cal
tariff,tariff,ari
perdagangan,perdagang,aga
indonesia,indonesia,don
moderat,moderat,dera
diskusi,diskusi,diskus
publik,publik,lik
waspada,waspada,ada
genderang,genderang,dera
perang,perang,era
dagang,dagang,aga
diadakan,ada,ada
indef,indef,indef
jakarta,jakarta,akar
jumat,jumat,jumat
4,4,4
april,april,april
2025,2025,2025
fadhil,fadhil,fadhil
menyebut,menyebut,menyebut
10,10,10
komoditas,komoditas,kom
ekspor,ekspor,eks
indonesia,indonesia,don
terdampak,terdampak,dam
tarif,tarif,ari
resiprokal,resiprokal,es
as,as,as
dilansir,lansir,lansir
produk,produk,duk
ekspor,ekspor,eks
indonesia,indonesia,don
seper,per,per
teks,teks,eks
l,l,l
garmen,garmen,gar
alas,alas,ala
kaki,kaki,aki
minyak,minyak,mi
sawit,sawit,awi
terkena,terkena,ken
dampak,dampak,dam
kebijakan,kebija,ebi
terkhusus,terkhusus,hus
industri,industri,dus
teks,teks,eks
l,l,l
indonesia,indonesia,don
dikhawa,dikhawa,awa
rkan,r,r
kian,kian,kia
merosot,merosot,merosot
asosiasi,asosiasi,asi
produsen,produsen,dus
serat,serat,era
benang,benang,bena
filament,filament,amen
indonesia,indonesia,don
mencatat,mencatat,cat
60,60,60
perusahaan,perusaha,eru
teks,teks,eks
l,l,l
tutu,tutu,tutu
sisi,sisi,isi
kementerian,menteri,ente
ketenagakerjaan,ketenagakerja,aga
mencatat,mencatat,cat
24,24,24
ribu,ribu,ibu
buruh,buruh,bur
teks,teks,eks
l,l,l
terkena,terkena,ken
pemutusan,pemutus,emut
hubungan,hubung,bun
kerja,kerja,kerja
phk,phk,phk
2024,2024,2024
ikatan,ikat,ikat
pengusaha,pengusaha,gus
konveksi,konveksi,eks
bekarya,karya,arya
memrediksi,memrediks,dik
penutuan,penutu,pen
pabrik,pabrik,pabrik
phk,phk,phk
terungkap,terungkap,eru
perusahaan,perusaha,eru
menengah,menengah,eneng
phk,phk,phk
industri,industri,dus
menengah,menengah,eneng
ikm,ikm,ikm
diperkiran,diperkir,kir
mencapai,mencapa,apa
1,1,1
000,000,000
unit,unit,uni
tenaga,tenaga,aga
kerja,kerja,kerja
kehilangan,hilang,hilang
mata,mata,mat
pencaharian,pencahari,ari
ratusan,ratus,atus
ribu,ribu,ibu
orang,orang,orang
kebijakan,kebija,ebi
diterapkan,terap,era
negara,negara,ara
pesaing,saing,ain
indonesia,indonesia,don
seper,per,per
vietnam,vietnam,vietnam
malaysia,malaysia,ala
thailand,thailand,hai
menilai,nila,nila
dampaknya,dampak,dam
indonesia,indonesia,don
cenderung,cenderung,cenderung
ringan,ringan,inga
vietnam,vietnam,vietnam
malaysia,malaysia,ala
menghadapi,menghadap,ada
level,level,level
tarif,tarif,ari
nggi,ngg,ngg
dibandingkan,banding,ban
indonesia,indonesia,don
amerika,amerika,erik
serikat,serikat,erik
menempa,menempa,menempa
posisi,posisi,isi
mitra,mitra,mi
dagang,dagang,aga
terbesar,terbesar,besar
indonesia,indonesia,don
tiongkok,tiongkok,ion
10,10,10
5,5,5
persen,persen,per
total,total,tal
ekspor,ekspor,eks
indonesia,indonesia,don
pasar,pasar,asa
amerika,amerika,erik
menjadikan,menjadi,adi
negara,negara,ara
salah,salah,ala
tujuan,tuju,tuju
utama,utama,ama
produk,produk,duk
unggulan,unggul,gul
tanah,tanah,ana
air,air,air
indonesia,indonesia,don
berhasil,berhasil,asi
mencatatkan,mencatat,cat
surplus,surplus,lus
perdagangan,perdagang,aga
signifikan,signifikan,ikan
as,as,as
16,16,16
8,8,8
miliar,miliar,ili
dolar,dolar,dol
as,as,as
surplus,surplus,lus
nilai,nilai,ilai
ekspor,ekspor,eks
indonesia,indonesia,don
as,as,as
melebihi,lebih,ebi
nilai,nilai,ilai
impornya,impor,impor
negara,negara,ara
mencerminkan,mencermin,cermin
hubungan,hubung,bun
perdagangan,perdagang,aga
cenderung,cenderung,cenderung
menguntungkan,menguntung,gun
indonesia,indonesia,don
kondisi,kondisi,isi
berpotensi,berpotens,pot
berubah,rubah,bah
presiden,presiden,den
amerika,amerika,erik
serikat,serikat,erik
donald,donald,don
trump,trump,rum
mengumumkan,mengumum,gum
kebijakan,kebija,ebi
terkait,terkait,kait
tarif,tarif,ari
impor,impor,impor
rabu,rabu,abu
2,2,2
april,april,april
2025,2025,2025
pernyataannya,pernyata,nyata
trump,trump,rum
menetapkan,menetap,eta
kenaikan,kenai,ken
tarif,tarif,ari
impor,impor,impor
angka,angka,angka
minimum,minimum,ini
10,10,10
persen,persen,per
berlaku,berla,berla
negara,negara,ara
dunia,dunia,dunia
indonesia,indonesia,don
kebijakan,kebija,ebi
langkah,langkah,angka
diklaim,klaim,klaim
bertujuan,bertuju,tuju
melindungi,lindung,dung
industri,industri,dus
domes,domes,dom
k,k,k
as,as,as
mengurangi,mengurang,rang
ketergantungan,ketergantung,antun
produk,produk,duk
negeri,negeri,neger
da,da,da
ar,ar,ar
negara,negara,ara
negara,negara,ara
terkena,terkena,ken
dampak,dampak,dam
kebijakan,kebija,ebi
indonesia,indonesia,don
menempa,menempa,menempa
urutan,urut,urut
kedelapan,delap,delap
tarif,tarif,ari
dikenakan,kena,ken
mencapai,mencapa,apa
32,32,32
persen,persen,per
tergolong,tergolong,erg
nggi,ngg,ngg
dibandingkan,banding,ban
negara,negara,ara
berpotensi,berpotens,pot
menekan,mene,mene
daya,daya,daya
saing,saing,ain
produk,produk,duk
ekspor,ekspor,eks
indonesia,indonesia,don
pasar,pasar,asa
amerika,amerika,erik
60,60,60
negara,negara,ara
tercantum,tercantum,cantum
da,da,da
ar,ar,ar
penerima,penerima,pen
kebijakan,kebija,ebi
tarif,tarif,ari
dikenai,kena,ken
tarif,tarif,ari
mbal,mbal,bal
besarnya,besar,besar
ditentukan,tentu,tentu
berdasarkan,berdasar,asa
tarif,tarif,ari
kenakan,kena,ken
produk,produk,duk
ekspor,ekspor,eks
as,as,as
kebijakan,kebija,ebi
dianggap,anggap,angga
bentuk,bentuk,bentuk
respons,respons,es
prak,prak,rak
k,k,k
perdagangan,perdagang,aga
pemerintah,pemerin,meri
as,as,as
dinilai,nila,nila
dak,dak,dak
adil,adil,adi
merugikan,rugi,rugi
kepen,pen,pen
ngan,ng,ng
ekonomi,ekonomi,ekon
domes,domes,dom
k,k,k
da,da,da
ar,ar,ar
indonesia,indonesia,don
satunya,satu,sat
negara,negara,ara
asia,asia,asi
tenggara,tenggara,ara
terdampak,terdampak,dam
negara,negara,ara
seper,per,per
malaysia,malaysia,ala
kamboja,kamboja,kam
vietnam,vietnam,vietnam
thailand,thailand,hai
mengalami,mengalam,ala
kenaikan,kenai,ken
tarif,tarif,ari
24,24,24
persen,persen,per
49,49,49
persen,persen,per
46,46,46
persen,persen,per
36,36,36
persen,persen,per
trump,trump,rum
kebijakan,kebija,ebi
tarif,tarif,ari
bertujuan,bertuju,tuju
menciptakan,mencipta,cip
lapangan,lapang,apa
kerja,kerja,kerja
negeri,negeri,neger
pejabat,jabat,aba
pemerintahannya,pemerintah,meri
beranggapan,beranggap,angga
as,as,as
dirugikan,rugi,rugi
negara,negara,ara
prak,prak,rak
k,k,k
perdagangan,perdagang,aga
dianggap,anggap,angga
dak,dak,dak
